"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Toxostoma longirostre",19,NA,NA,NA,NA,NA,NA
"Toxostoma longirostre",20,0.0464759959141999,-0.0278211187983227,0.120773110626722,-91.95148110317,0.0789325842696644,"Stable"
"Toxostoma longirostre",21,0.0480344965904542,-0.0373893269599403,0.133458320140849,-92.7616325712012,0.0136848630360564,"Stable"
"Toxostoma longirostre",35,NA,NA,NA,NA,NA,NA
"Toxostoma longirostre",36,0.0152990264255906,-0.0376440017905493,0.0682420546417304,-27.951043115437,-0.0275140593819936,"Stable"
"Toxostoma longirostre",37,0.119685118331327,-0.0906712983171116,0.330041534979766,-233.05951664661,0.0149312907032293,"Stable"
