"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Accipiter atricapillus",35,NA,NA,NA,NA,NA,NA
"Accipiter cooperii",18,0,0,0,1,NA,"Stable"
"Accipiter cooperii",19,-0.0043120738066587,-0.0147015101594313,0.00607736254611386,9.70407139991989,-0.0107634710522793,"Stable"
"Accipiter cooperii",20,-0.00575475874280663,-0.0371897905718686,0.0256802730862553,12.7189021691015,-0.0496127664444819,"Stable"
"Accipiter cooperii",21,-0.00807686951678035,-0.0284912607493268,0.0123375217157661,17.370561203175,-0.0149013158621851,"Stable"
"Accipiter cooperii",25,0.0129863618130766,-0.00792483293482789,0.0338975565609811,-24.9052847974328,0.0250688037616436,"Stable"
"Accipiter cooperii",35,0.0113512979962492,-0.0128676430208502,0.0355702390133485,-21.6653834764585,-0.00123238516608892,"Stable"
"Accipiter cooperii",36,0.0177413201068292,-0.0321126311667046,0.067595271380363,-34.3206791301024,-0.0272650482801542,"Stable"
"Accipiter cooperii",37,-0.011190053285968,-0.0311041894417701,0.00872408286983401,23.553108348135,0.0292819081451409,"Stable"
"Accipiter striatus",18,0,0,0,1,NA,"Stable"
"Accipiter striatus",19,0.00941704035874396,-0.0450021711196773,0.0638362518371653,-17.6295964125552,-0.083886397608373,"Stable"
"Accipiter striatus",20,NA,NA,NA,NA,NA,NA
"Accipiter striatus",21,0.0204991087344029,-0.0190332263963998,0.0600314438652055,-40.0374331550802,0.0592055003819711,"Stable"
"Accipiter striatus",25,-0.0150199807082818,-0.0399082010493149,0.00986823963275134,31.2283312663638,0.0530981581002266,"Stable"
"Accipiter striatus",35,NA,NA,NA,NA,NA,NA
"Actitis macularius",18,0.0043159257660768,-0.0269843811702407,0.0356162327023943,-7.38908070781178,-0.0568560970751304,"Stable"
"Actitis macularius",19,-0.0242962645831111,-0.20970573268235,0.161113203516128,50.5366584608813,-0.0654171791232747,"Stable"
"Actitis macularius",21,NA,NA,NA,NA,NA,NA
"Actitis macularius",25,NA,NA,NA,NA,NA,NA
"Actitis macularius",35,NA,NA,NA,NA,NA,NA
"Aechmophorus clarkii",18,NA,NA,NA,NA,NA,NA
"Aechmophorus clarkii",19,NA,NA,NA,NA,NA,NA
"Aechmophorus occidentalis",18,-0.187287431033179,-0.329283228310248,-0.0452916337561104,379.373743481218,0.318264319945326,"Decreasing"
"Aechmophorus occidentalis",19,-0.0492341356673892,-0.277901254562685,0.179432983227907,102.335828630644,-0.046125132429679,"Stable"
"Aechmophorus occidentalis",35,NA,NA,NA,NA,NA,NA
"Aeronautes saxatalis",18,-0.052819714874472,-0.128653202551422,0.0230137728024783,108.338576054508,0.0566675281129282,"Stable"
"Aeronautes saxatalis",35,-0.18445146014206,-0.35454789622151,-0.01435502406261,374.491475927372,0.163901803151981,"Decreasing"
"Agelaius phoeniceus",18,-0.5075210589651,-1.01559514296389,0.000553025033691479,1078.46058965102,0.115057067092214,"Stable"
"Agelaius phoeniceus",19,-1.02863016446049,-1.54072812559108,-0.516532203329895,2154.34331127156,0.393005964938114,"Decreasing"
"Agelaius phoeniceus",20,0.101083032490975,-0.026347737420462,0.228513802402413,-198.330324909749,0.062979312249305,"Stable"
"Agelaius phoeniceus",21,-0.23149819494585,-0.362542585741578,-0.100453804150121,480.106949458486,0.329639530204333,"Decreasing"
"Agelaius phoeniceus",25,-0.466756919374251,-0.578175455135962,-0.35533838361254,948.694193742485,0.746849622977442,"Decreasing"
"Agelaius phoeniceus",35,-0.829021259526678,-1.16431789703918,-0.493724622014177,1684.62926193342,0.500404862100341,"Decreasing"
"Agelaius phoeniceus",36,-5.50050140393106,-10.2779523327261,-0.723050475135974,11158.4307059768,0.156733633117654,"Decreasing"
"Agelaius phoeniceus",37,-4.68692338547936,-8.31676534022713,-1.05708143073158,9599.06718812679,0.19619160947244,"Decreasing"
"Aimophila ruficeps",18,-0.0195046129161649,-0.0848904724497618,0.0458812466174321,42.5044624949852,-0.02547110992062,"Stable"
"Aimophila ruficeps",19,-0.106899318090655,-0.219948525715595,0.00614988953428407,219.826514239875,0.101004949274639,"Stable"
"Aimophila ruficeps",20,-0.111060970718011,-0.205773372530271,-0.0163485689057509,228.651373846772,0.162679467487701,"Decreasing"
"Aimophila ruficeps",21,0.000258650419589939,-0.0769806187989227,0.0774979196381025,1.56724910909002,-0.0476166282698849,"Stable"
"Aimophila ruficeps",35,-0.0781187324508622,-0.159175706365964,0.00293824146423932,162.603991175291,0.105752162255865,"Stable"
"Aimophila ruficeps",36,-0.4,-4.95349964031611,4.15349964031611,803.4,-0.4,"Stable"
"Aix sponsa",18,-0.0711436170212777,-0.215021595644286,0.072734361601731,145.089317375889,0.00998081405099871,"Stable"
"Aix sponsa",19,-0.00817288407541086,-0.052887245235466,0.0365414770846443,19.2705074207776,-0.035526456008979,"Stable"
"Aix sponsa",20,0.0479452054794542,-1.30869951760174,1.40458992856065,-94.7328767123331,-0.664383561643844,"Stable"
"Aix sponsa",21,0.0176483705520681,-0.0236773123043208,0.0589740534084569,-33.3979803128265,-0.00946294212957266,"Stable"
"Aix sponsa",25,0.016947452868031,-0.0261560407504661,0.0600509464865281,-31.5578620136393,-0.0138488778681303,"Stable"
"Aix sponsa",35,NA,NA,NA,NA,NA,NA
"Aix sponsa",37,0.0777420650863796,-0.147780378178677,0.303264508351436,-151.94777018883,-0.0209063712280018,"Stable"
"Amazilia yucatanensis",21,NA,NA,NA,NA,NA,NA
"Amazilia yucatanensis",36,NA,NA,NA,NA,NA,NA
