"scientific_name","StateNum","slope","lower_CI","upper_CI","Adj_R2","Trend"
"Pyrocephalus rubinus",83,-0.0149418371440035,-0.0475590268715122,0.0176753525835053,-0.00426186602055578,"Stable"
"Quiscalus major",83,-0.0463297232250248,-0.977370626777411,0.884711180327361,-0.0412090674362622,"Stable"
"Quiscalus mexicanus",83,-0.783192940232657,-1.16903709586542,-0.397348784599893,0.398323037204507,"Decreasing"
"Quiscalus quiscula",83,-0.248094665062175,-0.375602614892785,-0.120586715231564,0.37696854460892,"Decreasing"
"Rallus crepitans",83,0.138318607068607,0.0214663361228205,0.255170878014393,0.195302919612469,"Increasing"
"Rallus elegans",83,0.0259878378009878,-0.0232216764743136,0.0751973520762892,0.00860005852722112,"Stable"
"Rallus limicola",83,NA,NA,NA,NA,NA
"Recurvirostra americana",83,-0.162705575611713,-0.443669877901843,0.118258726678417,0.016851048134898,"Stable"
"Regulus satrapa",83,NA,NA,NA,NA,NA
"Rhynchophanes mccownii",83,NA,NA,NA,NA,NA
"Riparia riparia",83,-0.498768239530026,-1.08926693366995,0.0917304546098967,0.107840627140462,"Stable"
"Rynchops niger",83,1.03969471360694,-0.658040584512109,2.73743001172598,0.0292100654188825,"Stable"
"Salpinctes obsoletus",83,-0.0135379061371838,-0.0566489354256477,0.0295731231512802,-0.0237488497203948,"Stable"
"Sayornis nigricans",83,0.0145677823260311,-0.0457732093096498,0.074908773961712,-0.0548498897492828,"Stable"
"Sayornis phoebe",83,-0.0783192940232659,-0.127894111041712,-0.0287444770048193,0.278112550356393,"Decreasing"
"Sayornis saya",83,-0.0244183714400323,-0.0471586355601705,-0.00167810731989414,0.135293852549044,"Stable"
"Scolopax minor",83,NA,NA,NA,NA,NA
"Seiurus aurocapilla",83,NA,NA,NA,NA,NA
"Selasphorus platycercus",83,-0.0413385826771654,-0.128068846528626,0.0453916811742949,0.245406824146982,"Stable"
"Setophaga americana",83,-0.0155936622543123,-0.0515342909625656,0.0203469664539411,-0.00798868777020045,"Stable"
"Setophaga cerulea",83,NA,NA,NA,NA,NA
"Setophaga chrysoparia",83,-0.126271561256087,-0.478749429544154,0.22620630703198,-0.0198667718886389,"Stable"
"Setophaga citrina",83,0.00982751704773484,-0.166218725209693,0.185873759305163,-0.0410908447704847,"Stable"
"Setophaga coronata audoboni",83,0.500000000000071,-3.16796536240597,4.16796536240611,0.499999999999787,"Stable"
"Setophaga coronata coronata",83,NA,NA,NA,NA,NA
"Setophaga discolor",83,0.0251203369434414,-0.0157189766220748,0.0659596505089576,0.0238817125451251,"Stable"
"Setophaga dominica",83,-0.00195547533092646,-0.0482111762138153,0.0443002255519624,-0.0413363498877941,"Stable"
"Setophaga graciae",83,NA,NA,NA,NA,NA
"Setophaga nigrescens",83,NA,NA,NA,NA,NA
"Setophaga pensylvanica",83,NA,NA,NA,NA,NA
"Setophaga petechia",83,NA,NA,NA,NA,NA
"Setophaga pinus",83,-0.594163658243083,-0.79125915905346,-0.397068157432705,0.601346454185344,"Decreasing"
"Setophaga pitiayumi",83,-0.0274122807017544,-0.0654047718849581,0.0105802104814493,0.192803437164339,"Stable"
"Setophaga ruticilla",83,-0.0325581395348878,-0.162230015347917,0.0971137362781416,-0.079753761969896,"Stable"
"Setophaga virens",83,NA,NA,NA,NA,NA
"Sialia currucoides",83,NA,NA,NA,NA,NA
"Sialia mexicana",83,0.0892018779342746,-0.494157688391396,0.672561444259945,-0.140066106654875,"Stable"
"Sialia sialis",83,-0.0304853590052152,-0.124819516078771,0.0638487980683409,-0.0227099714907839,"Stable"
"Sitta canadensis",83,NA,NA,NA,NA,NA
"Sitta carolinensis",83,-0.0626253509827516,-0.108286314398984,-0.0169643875665191,0.21906354459152,"Decreasing"
"Sitta pusilla",83,-0.0103289209787406,-0.0512724288494315,0.0306145868919504,-0.0300319459666418,"Stable"
