"scientific_name","BCR","slope","lower_CI","upper_CI","intercept","adj_r2","Trend"
"Pitangus sulphuratus",20,NA,NA,NA,NA,NA,NA
"Pitangus sulphuratus",21,0.145267958950975,-0.0247654792977621,0.315301397199712,-290.163055872304,0.159395473783889,"Stable"
"Pitangus sulphuratus",36,-0.0420176494183721,-0.0996157632083927,0.0155804643716486,87.5931608503824,0.0482301629202309,"Stable"
"Pitangus sulphuratus",37,0.0695948656237461,-0.033805203499599,0.172994934747091,-134.781989570797,0.0358545787475589,"Stable"
